ACT Symbol,Security Name,Exchange,CQS Symbol,ETF,Round Lot Size,Test Issue,NASDAQ Symbol
ANG$A,"American National Group Inc. Depositary Shares, each representing a 1/1,000th interest in a share of  5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock, Series A",N,ANGpA,N,100,N,ANG-A
ANG$B,"American National Group Inc. Depositary Shares, each representing a 1/1,000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock, Series B",N,ANGpB,N,100,N,ANG-B
ANRO,"Alto Neuroscience, Inc. Common Stock",N,ANRO,N,100,N,ANRO
ANVS,"Annovis Bio, Inc. Common Stock",N,ANVS,N,100,N,ANVS
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,N,AOD,N,100,N,AOD
AOMN,"Angel Oak Mortgage REIT, Inc. 9.500% Senior Notes due 2029",N,AOMN,N,100,N,AOMN
AOMR,"Angel Oak Mortgage REIT, Inc. Common Stock",N,AOMR,N,100,N,AOMR
AON,Aon plc Class A Ordinary Shares (Ireland),N,AON,N,100,N,AON
AORT,"Artivion, Inc. Common Stock",N,AORT,N,100,N,AORT
AOS,A.O. Smith Corporation Common Stock,N,AOS,N,100,N,AOS
AP,Ampco-Pittsburgh Corporation Common Stock,N,AP,N,100,N,AP
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,N,APAM,N,100,N,APAM
APD,"Air Products and Chemicals, Inc. Common Stock",N,APD,N,100,N,APD
APG,APi Group Corporation Common Stock,N,APG,N,100,N,APG
APH,Amphenol Corporation Common Stock,N,APH,N,100,N,APH
APLE,"Apple Hospitality REIT, Inc. Common Shares",N,APLE,N,100,N,APLE
APO,"Apollo Global Management, Inc. (New) Common Stock",N,APO,N,100,N,APO
APO$A,"Apollo Global Management, Inc. 6.75% Series A Mandatory Convertible Preferred Stock",N,APOpA,N,100,N,APO-A
APOS,"Apollo Global Management, Inc. 7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053",N,APOS,N,100,N,APOS
APTV,Aptiv PLC Ordinary Shares,N,APTV,N,100,N,APTV
AQN,Algonquin Power & Utilities Corp. Common Shares,N,AQN,N,100,N,AQN
AQNB,"Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1, 2079",N,AQNB,N,100,N,AQNB
AR,Antero Resources Corporation Common Stock,N,AR,N,100,N,AR
ARC,"ARC Document Solutions, Inc. Common Stock",N,ARC,N,100,N,ARC
ARCH,"Arch Resources, Inc. Class A Common Stock",N,ARCH,N,100,N,ARCH
ARCO,Arcos Dorados Holdings Inc. Class A Shares,N,ARCO,N,100,N,ARCO
ARDC,"Ares Dynamic Credit Allocation Fund, Inc. Common Shares",N,ARDC,N,100,N,ARDC
ARDT,"Ardent Health Partners, Inc. Common Stock",N,ARDT,N,100,N,ARDT
ARE,"Alexandria Real Estate Equities, Inc. Common Stock",N,ARE,N,100,N,ARE
ARES,Ares Management Corporation Class A Common Stock,N,ARES,N,100,N,ARES
ARGD,"Argo Group International Holdings, Ltd. 6.5% Senior Notes Due 2042",N,ARGD,N,100,N,ARGD
ARGO$A,"Argo Group International Holdings, Inc. Depositary Shares, Each Representing a 1/1,000th Interest in a 7.00% Resettable Fixed Rate Preference Share, Series A",N,ARGOpA,N,100,N,ARGO-A
ARI,"Apollo Commercial Real Estate Finance, Inc",N,ARI,N,100,N,ARI
ARIS,"Aris Water Solutions, Inc. Class A Common Stock",N,ARIS,N,100,N,ARIS
ARL,"American Realty Investors, Inc. Common Stock",N,ARL,N,100,N,ARL
ARLO,"Arlo Technologies, Inc. Common Stock",N,ARLO,N,100,N,ARLO
ARMK,Aramark Common Stock,N,ARMK,N,100,N,ARMK
AROC,"Archrock, Inc. Common Stock",N,AROC,N,100,N,AROC
ARR,"ARMOUR Residential REIT, Inc.",N,ARR,N,100,N,ARR
ARR$C,"ARMOUR Residential REIT, Inc. 7% Series C Cumulative Redeemable Preferred Stock (liquidation preference $25.00 per share)",N,ARRpC,N,100,N,ARR-C
ARW,"Arrow Electronics, Inc. Common Stock",N,ARW,N,100,N,ARW
AS,"Amer Sports, Inc. Ordinary Shares",N,AS,N,100,N,AS
ASA,ASA  Gold and Precious Metals Limited,N,ASA,N,100,N,ASA
ASAI,Sendas Distribuidora S A ADS,N,ASAI,N,100,N,ASAI
ASAN,"Asana, Inc. Class A Common Stock",N,ASAN,N,100,N,ASAN
ASB,Associated Banc-Corp Common Stock,N,ASB,N,100,N,ASB
ASB$E,"Associated Banc-Corp Depositary Shares, each representing a 1/40th interest in a share of 5.875% Non-Cumulative Perpetual Preferred Stock, Series E",N,ASBpE,N,100,N,ASB-E
ASB$F,"Associated Banc-Corp Depositary Shares, each representing a 1/40th interest in a share of Associated Banc-Corp 5.625% Non-Cumulative Perpetual Preferred Stock, Series F",N,ASBpF,N,100,N,ASB-F
ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033,N,ASBA,N,100,N,ASBA
ASC,Ardmore Shipping Corporation Common Stock,N,ASC,N,100,N,ASC
ASG,"Liberty All-Star Growth Fund, Inc.",N,ASG,N,100,N,ASG
ASGI,abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest,N,ASGI,N,100,N,ASGI
ASGN,ASGN Incorporated Common Stock,N,ASGN,N,100,N,ASGN
ASH,Ashland Inc. Common Stock,N,ASH,N,100,N,ASH
ASIX,AdvanSix Inc. Common Stock ,N,ASIX,N,100,N,ASIX
ASPN,"Aspen Aerogels, Inc. Common Stock",N,ASPN,N,100,N,ASPN
ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",N,ASR,N,100,N,ASR
ASX,"ASE Technology Holding Co., Ltd. American Depositary Shares (each representing Two Common Shares) ",N,ASX,N,100,N,ASX
ATCO$D,Atlas Corp. 7.95% Series D,N,ATCOpD,N,100,N,ATCO-D
ATCO$H,Atlas Corp. 7.875% Series H,N,ATCOpH,N,100,N,ATCO-H
ATEN,"A10 Networks, Inc. Common Stock",N,ATEN,N,100,N,ATEN
ATGE,Adtalem Global Education Inc. Common Stock,N,ATGE,N,100,N,ATGE
ATH$A,"Athene Holding Ltd. Depositary Shares, Each Representing a 1/1,000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share, Series A",N,ATHpA,N,100,N,ATH-A
ATH$B,"Athene Holding Ltd. Depositary Shares, Each Representing a 1/1,000th Interest in a 5.625% Fixed Rate Perpetual Non- Cumulative Preference Share, Series B, par value $1.00 per share",N,ATHpB,N,100,N,ATH-B
ATH$C,"Athene Holding Ltd. Depositary Shares, each representing a 1/1,000th Interest in a Share of 6.375% Fixed-Rate Reset Perpetual Non-Cumulative Preference Shares, Series C",N,ATHpC,N,100,N,ATH-C
ATH$D,"Athene Holding Ltd. Depositary Shares, Each Representing a 1/1,000th Interest in a 4.875% Fixed-Rate Perpetual Non-Cumulative Preference Share, Series D",N,ATHpD,N,100,N,ATH-D
ATH$E,"Athene Holding Ltd. Depositary Shares, Each Representing a 1/1,000th Interest in a 7.750% Fixed-Rate Reset Perpetual Non-Cumulative Preference Share, Series E",N,ATHpE,N,100,N,ATH-E
ATHM,"Autohome Inc. American Depositary Shares, each representing four class A ordinary shares.",N,ATHM,N,100,N,ATHM
ATHS,Athene Holding Ltd. 7.250% Fixed-Rate Reset Junior Subordinated Debentures due 2064,N,ATHS,N,100,N,ATHS
ATI,ATI Inc. Common Stock,N,ATI,N,100,N,ATI
ATIP,"ATI Physical Therapy, Inc. Class A Common Stock",N,ATIP,N,100,N,ATIP
ATKR,Atkore Inc. Common Stock,N,ATKR,N,100,N,ATKR
ATMU,Atmus Filtration Technologies Inc. Common Stock,N,ATMU,N,100,N,ATMU
ATO,Atmos Energy Corporation Common Stock,N,ATO,N,100,N,ATO
ATR,"AptarGroup, Inc. Common Stock",N,ATR,N,100,N,ATR
ATS,ATS Corporation Common Shares,N,ATS,N,100,N,ATS
ATUS,"Altice USA, Inc. Class A Common Stock",N,ATUS,N,100,N,ATUS
AU,AngloGold Ashanti PLC Ordinary Shares,N,AU,N,100,N,AU
AUB,Atlantic Union Bankshares Corporation Common Stock,N,AUB,N,100,N,AUB
AUB$A,"Atlantic Union Bankshares Corporation Depositary Shares each representing a 1/400th ownership interest in a share of 6.875% Perpetual Non-Cumulative Preferred Stock, Series A",N,AUBpA,N,100,N,AUB-A
AUNA,Auna SA Class A Ordinary Shares,N,AUNA,N,100,N,AUNA
AVA,Avista Corporation Common Stock,N,AVA,N,100,N,AVA
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),N,AVAL,N,100,N,AVAL
AVB,"AvalonBay Communities, Inc. Common Stock",N,AVB,N,100,N,AVB
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),N,AVD,N,100,N,AVD
AVK,Advent Convertible and Income Fund,N,AVK,N,100,N,AVK
AVNS,"Avanos Medical, Inc. Common Stock",N,AVNS,N,100,N,AVNS
AVNT,Avient Corporation Common Stock,N,AVNT,N,100,N,AVNT
AVTR,"Avantor, Inc. Common Stock",N,AVTR,N,100,N,AVTR
AVY,Avery Dennison Corporation Common Stock,N,AVY,N,100,N,AVY
AWF,Alliancebernstein Global High Income Fund,N,AWF,N,100,N,AWF
AWI,Armstrong World Industries Inc Common Stock,N,AWI,N,100,N,AWI
AWK,"American Water Works Company, Inc. Common Stock",N,AWK,N,100,N,AWK
AWP,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest,N,AWP,N,100,N,AWP
AWR,American States Water Company Common Stock,N,AWR,N,100,N,AWR
AX,"Axos Financial, Inc. Common Stock",N,AX,N,100,N,AX
AXL,"American Axle & Manufacturing Holdings, Inc. Common Stock",N,AXL,N,100,N,AXL
AXP,American Express Company Common Stock,N,AXP,N,100,N,AXP
AXR,AMREP Corporation Common Stock,N,AXR,N,100,N,AXR
AXS,Axis Capital Holdings Limited Common Stock,N,AXS,N,100,N,AXS
AXS$E,"Axis Capital Holdings Limited Depositary Shares, each representing 1/100th interest in a share of a 5.50% Series E Preferred Shares",N,AXSpE,N,100,N,AXS-E
AXTA,Axalta Coating Systems Ltd. Common Shares,N,AXTA,N,100,N,AXTA
