,pair,coint_score,pvalue
4455,"('PODD', 'WSM')",-3.594402210712704,0.02489503387815396
5289,"('PARA', 'WST')",-3.5941939828376306,0.024909773369651503
1661,"('CNC', 'EXC')",-3.5941379091514385,0.02491374385221768
1124,"('BBY', 'ORCL')",-3.594109002590128,0.02491579088976461
4368,"('HST', 'MSFT')",-3.594102883460727,0.024916224238606097
4041,"('BEN', 'GWW')",-3.59394460075984,0.024927435871741045
3559,"('ERIE', 'KMB')",-3.5939418105650733,0.024927633548490646
3949,"('FE', 'MPWR')",-3.5938414349459333,0.02493474575181839
283,"('AMD', 'CARR')",-3.5934771627231465,0.02496057126933441
1670,"('CNC', 'FIS')",-3.59337580636777,0.024967761146698558
3292,"('ENPH', 'YUM')",-3.593360280111069,0.0249688626844585
3084,"('ELV', 'LII')",-3.5932805645759314,0.02497451890349038
285,"('AMD', 'COO')",-3.5932100139403915,0.02497952574742026
5369,"('PGR', 'ROL')",-3.59313961010976,0.0249845230348753
3220,"('ENPH', 'NCLH')",-3.5931326748588805,0.024985015347897096
5435,"('RMD', 'TGT')",-3.592988454971651,0.024995254986662704
4983,"('MU', 'ORLY')",-3.592981211147757,0.024995769394838132
4632,"('JKHY', 'SJM')",-3.5927549452471665,0.025011841885602425
3240,"('ENPH', 'PGR')",-3.592742693281608,0.025012712441347992
4400,"('HII', 'JKHY')",-3.5925201882158584,0.025028526941374366
988,"('ADP', 'FTNT')",-3.592480938490581,0.025031317500682496
2902,"('DTE', 'PTC')",-3.5923711719766955,0.025039123053730107
2996,"('EBAY', 'MRK')",-3.59230195250192,0.025044046363897173
3548,"('ERIE', 'IRM')",-3.592254863492602,0.025047396097266597
4036,"('BEN', 'TT')",-3.5922062952994414,0.025050851458444132
1541,"('CAT', 'JBHT')",-3.591969368709898,0.025067713376194862
3202,"('ENPH', 'LOW')",-3.591905873737548,0.02507223393445577
4189,"('GS', 'LYV')",-3.5918759417593384,0.025074365201035897
1210,"('BA', 'DFS')",-3.5918694228890082,0.025074829389193837
3334,"('EOG', 'HPQ')",-3.5918385300811644,0.025077029269074316
2842,"('D', 'STX')",-3.591690490344327,0.025087573500346773
339,"('AFL', 'ULTA')",-3.5916736883348097,0.025088770476194674
1431,"('CHRW', 'DGX')",-3.591660208048254,0.025089730847924208
4460,"('INTC', 'MDLZ')",-3.591593950907509,0.025094451644418057
3568,"('ERIE', 'LVS')",-3.5914918314046558,0.02510172911897813
4183,"('GL', 'LW')",-3.591303907355826,0.025115126144429987
